years,0 - 4,05-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100+
1950,27168.1,21806.9,19858.5,17997.5,15653.9,13424.4,11558.3,9962.4,8419,6952.9,6088.5,4781.6,3939.6,3151.7,2005.6,1020.7,465.6,,,,
1955,30343.7,23845.6,21146.2,19411,17489.6,15084.9,12863.5,11027.8,9471.7,7970.5,6502.9,5554.2,4154.8,3145.3,2199.9,1129.7,513.201,,,,
1960,34571.9,27216.7,23246.1,20747.6,18949.8,16943.4,14540.7,12352.4,10553.2,9025.3,7510.3,5991.9,4899.4,3396.6,2273.1,1302.9,597.499,,,,
1965,38220,31433.6,26561.1,22755.6,20166.9,18329.5,16350,13999.2,11856.3,10088.5,8537.5,6959.3,5333.7,4065.3,2509,1389.1,715.503,,,,
1970,41921.1,35193.3,30779.2,26071.5,22196.7,19584.6,17760.3,15806.7,13492.3,11379.2,9584.9,7955.6,6246.9,4482.6,3059.4,1573.8,817,,,,
1975,45232.4,38942.8,34541.8,30270.3,25494.8,21617,19032.3,17221.8,15279.8,12987.1,10846.3,8969.1,7186.1,5300.5,3420.6,1956.7,950.299,,,,
1980,46847.9,42553.4,38352.4,34065.9,29708.4,24932.3,21098.5,18537.3,16721.9,14772.1,12439.4,10214.1,8178.8,6186.2,4130.6,2253.1,1198.697,,,,
1985,52797.477,44190.912,41895.833,37908.81,33521.119,29172.749,24451.437,20675.724,18105.033,16222.109,14125.343,11638.985,9149.618,6892.266,4809.575,2844.343,1632.666,,,,
1990,56367.124,50182.844,43622.508,41486.915,37397.356,33009.013,28695.563,24030.904,20254.352,17623.382,15580.883,13293.967,10519.369,7805.753,5437.586,3373.636,2160.256,,,,
1995,58607.521,54033.886,49622.506,43233.22,40969.757,36867.184,32524.091,28259.958,23598.083,19774.13,16997.684,14748.369,12120.914,9085.427,6254.541,3889.281,1854.833,671.665,169.992,30.306,3.297
2000,58820.001,56640.092,53545.261,49266.216,42780.826,40462.459,36386.432,32085.89,27810.103,23103.335,19149.378,16178.17,13560.995,10594.928,7390.774,4563.839,2431.032,936.015,258.161,46.603,5.768
2005,58450.532,57211.343,56221.145,53232.777,48845.369,42287.993,39937.119,35900.756,31601.142,27276.374,22447.506,18316.996,14996.231,11989.205,8747.401,5500.95,2925.465,1256.505,367.564,71.635,8.921
